payment_id,invoice_id,customer_id,payment_date,amount,payment_method,reference_number,bank_ref,notes
PMT-001,INV-2024-001,CUST-001,2024-02-10,34200.00,Wire Transfer,REF-TC-001,BK-882201,
PMT-002,INV-2024-002,CUST-003,03/05/2024,12500.00,CHECK,CHK-4491,,Check #4491
PMT-003,INV-2024-003,CUST-007,2024-03-12,22500.00,wire transfer,REF-LT-003,BK-882267,
PMT-004,INV-2024-004,CUST-002,2024-04-01,33885.00,ACH,ACH-MS-2024-004,BK-882301,
PMT-005,INV-2024-006,CUST-010,03/15/2024,11932.50,Wire Transfer,REF-GE-006,BK-882334,
PMT-006,INV-2024-008,CUST-011,2024-03-15,29250.00,wire,REF-PC-008-A,,Partial - 50% paid; dispute on 10 units
PMT-007,INV-2024-009,CUST-013,03/28/2024,20140.00,ACH,ACH-NM-2024-009,BK-882378,
PMT-008,INV-2024-010,CUST-006,2024-03-20,14500.00,CHECK,CHK-7823,,Check #7823
PMT-009,INV-2024-011,CUST-014,03/22/2024,32760.00,Wire Transfer,REF-CR-011,BK-882412,
PMT-010,INV-2024-012,CUST-001,2024-03-20,57000.00,wire transfer,REF-TC-012,BK-882445,
PMT-011,INV-2024-015,CUST-002,05/05/2024,49020.00,ACH,ACH-MS-2024-015,BK-882489,
PMT-012,INV-2024-016,CUST-008,2024-03-18,17600.00,Wire Transfer,REF-FG-016,BK-882512,
PMT-013,INV-2024-017,CUST-003,04/22/2024,16950.00,check,CHK-5102,,Check #5102
PMT-014,INV-2024-019,CUST-011,2024-04-20,51525.00,Wire Transfer,REF-PC-019-A,BK-882556,50% partial payment
PMT-015,INV-2024-013,CUST-009,2024-04-15,6000.00,ach,ACH-ET-2024-013,,Partial - awaiting budget approval for balance
PMT-016,INV-2024-007,CUST-004,2024-04-30,39000.00,Wire Transfer,REF-RM-007-A,BK-882601,Partial - escalated to collections for balance
PMT-017,INV-2024-002,CUST-003,03/07/2024,0.00,,,, Duplicate entry - void
PMT-018,INV-2024-004,CUST-002,2024-04-02,33885.00,ACH,ACH-MS-2024-004-DUP,BK-882301,DUPLICATE - matches PMT-004 - do not process
